asof_time,symbol,table_type,signal_side,level_tag,level_name,direction,status,level_price,zone_low,zone_high,last_price,distance_pips,distance_pips_abs,level_family,level_period,touch_count,first_touch_time,first_cross_time,build_timeframe,entry_timeframe,notes,rank,strength_score,fresh_score,family_score,period_score,distance_score,source_data
2026-03-28 17:28:05.198243+00:00,EUR/USD,intraday,resistance,M_IB,M IB LOW,short,crossed,1.15303,1.15303,1.15303,1.15113,19.0,19.0,IB,M,60,2026-03-08T22:00:00+00:00,2026-03-08T23:30:00+00:00,M30,M1,Anchor 2026-03 | range 0.02880,19,18.499999999999996,0,2,2,0.049999999999999684,fxcm_m30/d1
2026-03-28 17:28:05.181971+00:00,EUR/USD,intraday,resistance,W_POC,W_POC,short,crossed,1.15385,1.14655,1.15545,1.15113,27.2,27.2,POC,W,29,2026-03-23T05:30:00+00:00,2026-03-23T05:30:00+00:00,M30,M1,Profile 2026-W12 | close 1.15620,18,19.3546099290782,0,3,1,0.03546099290782026,fxcm_m30
2026-03-28 17:28:24.535087+00:00,GBP/CHF,intraday,support,W_POC,W_POC,long,fresh,1.04865,1.04595,1.05385,1.06018,-115.25,115.25,POC,W,0,,,M30,M1,Profile 2026-W12 | close 1.05045,8,49.086021505376344,3,3,1,0.008602150537634239,fxcm_m30
2026-03-28 17:28:24.549055+00:00,GBP/CHF,intraday,support,M_IB,M IB HIGH,long,crossed,1.04725,1.04725,1.04725,1.06018,-129.25,129.25,IB,M,26,2026-03-11T20:30:00+00:00,2026-03-12T16:00:00+00:00,M30,M1,Anchor 2026-03 | range 0.01865,19,18.076775431861805,0,2,2,0.007677543186180379,fxcm_m30/d1
2026-03-28 17:28:24.542502+00:00,GBP/CHF,intraday,support,M_POC,M_POC,long,crossed,1.04675,1.04235,1.05475,1.06018,-134.25,134.25,POC,M,37,2026-03-04T09:30:00+00:00,2026-03-12T07:30:00+00:00,M30,M1,Profile 2026-02 | close 1.03742,18,23.073937153419585,0,3,2,0.007393715341958474,fxcm_m30
2026-03-28 17:28:21.249817+00:00,GBP/JPY,intraday,resistance,M_IB,M IB 150,short,fresh,214.69675,214.69675,214.69675,212.642,205.48,205.48,IB,M,0,,,M30,M1,Anchor 2026-03 | range 2.20550,11,48.04843201356096,3,2,2,0.0048432013560963496,fxcm_m30/d1
2026-03-28 17:28:21.217511+00:00,GBP/JPY,intraday,support,W_POC,W_POC,long,crossed,212.2825,211.6115,212.6695,212.642,-35.95,35.95,POC,W,13,2026-03-23T00:00:00+00:00,2026-03-23T05:30:00+00:00,M30,M1,Profile 2026-W12 | close 212.21950,18,19.270635994592467,0,3,1,0.027063599459246575,fxcm_m30
2026-03-28 17:28:21.233746+00:00,GBP/JPY,intraday,support,M_IB,M IB HIGH,long,crossed,211.3885,211.3885,211.3885,212.642,-125.35,125.35,IB,M,51,2026-03-06T18:00:00+00:00,2026-03-06T20:30:00+00:00,M30,M1,Anchor 2026-03 | range 2.20550,19,18.0791452314998,0,2,2,0.007914523149980198,fxcm_m30/d1
2026-03-28 17:28:06.933975+00:00,GBP/USD,intraday,support,M_IB,M IB LOW,long,crossed,1.32531,1.32531,1.32531,1.32608,-7.75,7.75,IB,M,26,2026-03-13T10:30:00+00:00,2026-03-13T15:00:00+00:00,M30,M1,Anchor 2026-03 | range 0.02385,18,19.14285714285718,0,2,2,0.11428571428571818,fxcm_m30/d1
2026-03-28 17:28:06.925498+00:00,GBP/USD,intraday,resistance,W_POC,W_POC,short,crossed,1.33335,1.32735,1.33725,1.32608,72.7,72.7,POC,W,20,2026-03-23T00:00:00+00:00,2026-03-23T01:00:00+00:00,M30,M1,Profile 2026-W12 | close 1.33344,19,19.135685210312097,0,3,1,0.01356852103120985,fxcm_m30
2026-03-28 17:28:15.644985+00:00,NZD/USD,intraday,support,M_IB,M IB -150,long,fresh,0.55964,0.55964,0.55964,0.57442,-147.85,147.85,IB,M,0,,,M30,M1,Anchor 2026-03 | range 0.01598,10,48.067181726570375,3,2,2,0.006718172657037314,fxcm_m30/d1
2026-03-28 17:28:15.641927+00:00,NZD/USD,intraday,resistance,M_IB,M IB LOW,short,crossed,0.58361,0.58361,0.58361,0.57442,91.85,91.85,IB,M,66,2026-03-13T04:00:00+00:00,2026-03-13T04:00:00+00:00,M30,M1,Anchor 2026-03 | range 0.01598,19,18.107700592353257,0,2,2,0.010770059235325797,fxcm_m30/d1
2026-03-28 17:28:15.628356+00:00,NZD/USD,intraday,resistance,W_POC,W_POC,short,crossed,0.58415,0.58135,0.58625,0.57442,97.3,97.3,POC,W,21,2026-03-23T11:00:00+00:00,2026-03-23T12:30:00+00:00,M30,M1,Profile 2026-W12 | close 0.58325,18,19.101729399796547,0,3,1,0.010172939979654792,fxcm_m30
2026-03-28 17:28:14.211698+00:00,USD/CAD,intraday,resistance,M_IB,M IB 150,short,fresh,1.39602,1.39602,1.39602,1.38936,66.63,66.63,IB,M,0,,,M30,M1,Anchor 2026-03 | range 0.01381,10,48.147874306839185,3,2,2,0.014787430683918634,fxcm_m30/d1
2026-03-28 17:28:14.217750+00:00,USD/CAD,intraday,resistance,M_IB,M IB 200,short,fresh,1.40293,1.40293,1.40293,1.38936,135.7,135.7,IB,M,0,,,M30,M1,Anchor 2026-03 | range 0.01381,11,48.07315288953914,3,2,2,0.007315288953913755,fxcm_m30/d1
2026-03-28 17:28:14.200943+00:00,USD/CAD,intraday,support,M_IB,M IB HIGH,long,crossed,1.3753,1.3753,1.3753,1.38936,-140.6,140.6,IB,M,18,2026-03-23T10:30:00+00:00,2026-03-24T03:30:00+00:00,M30,M1,Anchor 2026-03 | range 0.01381,18,18.070621468926554,0,2,2,0.007062146892655387,fxcm_m30/d1
2026-03-28 17:28:10.878701+00:00,USD/CHF,intraday,support,W_POC,W_POC,long,crossed,0.78865,0.78555,0.79145,0.79892,-102.65,102.65,POC,W,23,2026-03-23T00:30:00+00:00,2026-03-23T00:30:00+00:00,M30,M1,Profile 2026-W12 | close 0.78774,18,19.096478533526284,0,3,1,0.009647853352628553,fxcm_m30
2026-03-28 17:28:10.885245+00:00,USD/CHF,intraday,support,M_IB,M IB HIGH,long,crossed,0.78788,0.78788,0.78788,0.79892,-110.3,110.3,IB,M,77,2026-03-13T07:00:00+00:00,2026-03-13T07:00:00+00:00,M30,M1,Anchor 2026-03 | range 0.02160,19,18.08984725965858,0,2,2,0.008984725965857965,fxcm_m30/d1
2026-03-28 17:28:09.228369+00:00,USD/JPY,intraday,resistance,M_IB,M IB 150,short,fresh,161.617,161.617,161.617,160.2935,132.35,132.35,IB,M,0,,,M30,M1,Anchor 2026-03 | range 2.43100,9,48.074990626171726,3,2,2,0.007499062617172718,fxcm_m30/d1
2026-03-28 17:28:09.228369+00:00,USD/JPY,intraday,resistance,M_IB,M IB 200,short,fresh,162.8325,162.8325,162.8325,160.2935,253.9,253.9,IB,M,0,,,M30,M1,Anchor 2026-03 | range 2.43100,10,48.03923107100824,3,2,2,0.0039231071008237845,fxcm_m30/d1
2026-03-28 17:28:09.220080+00:00,USD/JPY,intraday,support,W_POC,W_POC,long,crossed,159.2365,158.6845,159.5885,160.2935,-105.7,105.7,POC,W,7,2026-03-23T00:00:00+00:00,2026-03-23T11:00:00+00:00,M30,M1,Profile 2026-W12 | close 159.15000,18,19.09372071227814,0,3,1,0.009372071227814083,fxcm_m30
2026-03-28 17:28:09.220787+00:00,USD/JPY,intraday,support,M_IB,M IB HIGH,long,crossed,157.9705,157.9705,157.9705,160.2935,-232.3,232.3,IB,M,22,2026-03-06T11:30:00+00:00,2026-03-06T12:30:00+00:00,M30,M1,Anchor 2026-03 | range 2.43100,19,18.042863266180884,0,2,2,0.004286326618088337,fxcm_m30/d1
